"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.ts", "TypeScript", 0, 14, 0, 0, 7, 21
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.html", "HTML", 138, 0, 0, 15, 9, 162
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.ts", "TypeScript", 0, 70, 0, 11, 19, 100
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.html", "HTML", 155, 0, 0, 21, 9, 185
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.ts", "TypeScript", 0, 37, 0, 0, 5, 42
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.html", "HTML", 174, 0, 0, 0, 7, 181
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\menu\menu.component.ts", "TypeScript", 0, 8, 0, 0, 5, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.html", "HTML", 175, 0, 0, 0, 7, 182
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\tooltips\tooltips.component.ts", "TypeScript", 0, 12, 0, 3, 4, 19
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.module.ts", "TypeScript", 0, 33, 0, 2, 5, 40
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\ui-components.routing.ts", "TypeScript", 0, 33, 0, 1, 3, 37
"c:\Users\aymen\Desktop\main\src\app\services\nav.service.ts", "TypeScript", 0, 14, 0, 0, 6, 20
"Total", "-", 1907, 3733, 1549, 835, 1600, 9624
